week,active_partners,active_non_partners,bookers_partners,bookers_non_partners,bookings_flights,bookings_hotels,bookings_cars,bookings_cruises,take_usd_flights,take_usd_hotels,take_usd_cars,take_usd_cruises,bookings_total,take_usd_total,new_accounts_partners,new_accounts_non_partners,churn_rate_partners,churn_rate_non_partners,churned_partners,churned_non_partners,churned_total
42,78219.91764039217,65806.4473786846,78219.91764039217,65806.4473786846,16396.098120774514,3802.9736871384193,1341.7178988203411,195.5883684218984,81980.49060387257,167330.84223409044,6708.589494101706,43029.441052817645,21736.37807515517,299049.36338488234,1247.92,2317.56,0.00238,0.00307,179.54284371524153,186.16588087889122,365.7087245941327
43,78042.36599600827,65623.9783862226,78042.36599600827,65623.9783862226,16358.880564547888,3793.4076517581398,1338.4355744493,195.073120806039,81794.40282273944,166909.93667735814,6692.177872246501,42916.08657732858,21685.796911561367,298312.60394967266,1247.92,2317.56,0.00238,0.00307,179.17937357081394,185.7472879420516,364.9266615128655
44,77869.43340074844,65449.83166005866,77869.43340074844,65449.83166005866,16322.631232079963,3784.1913435745105,1335.2642176264455,194.57897810910313,81613.15616039981,166504.41911727845,6676.3210881322275,42807.37518400269,21636.66577139002,297601.27154981316,1236.16,2295.74,0.00238,0.00307,178.82011595104714,185.3379989393171,364.15811489036423
45,77689.33535425636,65262.13983861485,77689.33535425636,65262.13983861485,16284.879910796044,3774.414597916456,1331.9161767322914,194.05072822321617,81424.39955398021,166074.24230832406,6659.580883661457,42691.160209107555,21585.261413668006,296849.38295507326,1165.63,2164.74,0.00238,0.00307,178.47008176383486,184.95001324662957,363.4200950104644
46,77453.94803790831,64971.47555382568,77453.94803790831,64971.47555382568,16235.539107946166,3760.3569884329927,1327.2158619225397,193.26262695741525,81177.69553973083,165455.70749105167,6636.079309612698,42517.77793063135,21516.374585259113,295787.2602710266,1165.63,2164.74,0.00238,0.00307,178.12088065798815,184.56321867001859,362.6840993280067
47,77274.14339538664,64783.784476159286,77274.14339538664,64783.784476159286,16197.849288648353,3750.587565003,1323.8710932896174,192.73458067085926,80989.24644324176,165025.852860132,6619.355466448087,42401.607747589034,21465.04252761183,295036.0625174109,1165.63,2164.74,0.00238,0.00307,177.77251065077334,184.17761155275784,361.9501222035312
48,77103.07900819443,64612.064258881626,77103.07900819443,64612.064258881626,16161.991561333063,3741.486202007364,1320.737897116318,192.24695049015583,80809.95780666532,164625.39288832402,6603.68948558159,42294.32910783428,21416.462610946903,294333.3692884052,1165.63,2164.74,0.00238,0.00307,177.42496976417573,183.79318824934705,361.2181580135228
49,76938.18174142827,64451.53621347957,76938.18174142827,64451.53621347957,16127.426557337849,3732.8540538188986,1317.7534365327185,191.78767235101623,80637.13278668924,164245.57836803154,6588.767182663592,42193.28791722357,21369.821720040483,293664.76625460794,1195.25,2219.74,0.00238,0.00307,177.07481532385447,183.4017028234408,360.4765181472952
50,76806.14973629345,64351.77638104147,76806.14973629345,64351.77638104147,16099.750617799973,3726.7541098029146,1315.569644443487,191.4819060622298,80498.75308899986,163977.18083132824,6577.848222217435,42126.01933369056,21333.556278108605,293179.8014762361,1200.18,2228.92,0.00238,0.00307,176.72492053605586,183.0100457685619,359.7349663046177
51,76660.55929019346,64226.6092169049,76660.55929019346,64226.6092169049,16069.232620444398,3719.5999892828813,1313.053124186743,191.11208182465913,80346.163102222,163662.39952844678,6565.265620933715,42044.65800142501,21292.997815738683,292618.4862530275,1200.18,2228.92,0.00238,0.00307,176.3758584978522,182.61959110084152,358.9954495986937
52,76512.3722431981,64096.34498614108,76512.3722431981,64096.34498614108,16038.170335593448,3712.2374572570634,1310.4712281472341,190.72949162989022,80190.85167796724,163338.44811931078,6552.35614073617,41960.48815857585,21251.608512627634,292042.14409659005,1200.18,2228.92,0.00238,0.00307,176.02762722729946,182.23033512895103,358.25796235625046
